Dataset	Alignment	AliFilter	BMGE	ClipKIT	Gblocks	Noisy	trimAl
Dataset4	COG0522	223,6,10,8	129,15,1,102	210,15,1,21	38,16,0,193	227,0,16,4	83,15,1,148
Dataset4	COG0532	658,2825,13,129	395,2837,1,392	787,1,2837,0	130,2838,0,657	773,1511,1327,14	341,2827,11,446
Dataset4	COG5257	390,1367,23,0	350,1382,8,40	390,668,722,0	256,1388,2,134	379,882,508,11	316,1380,10,74
Dataset3	27961at204455	276,8,4,0	276,8,4,0	276,4,8,0	268,10,2,8	224,3,9,52	276,12,0,0
Dataset3	30157at204455	547,34,5,0	544,34,5,3	547,6,33,0	468,39,0,79	440,12,27,107	519,39,0,28
Dataset3	38946at204455	183,15,4,0	183,16,3,0	183,9,10,0	159,18,1,24	167,8,11,16	183,18,1,0
Dataset3	40208at204455	289,107,1,2	289,107,1,2	291,30,78,0	234,108,0,57	250,37,71,41	289,108,0,2
Dataset3	42290at204455	531,509,30,37	524,509,30,44	568,192,347,0	423,537,2,145	505,241,298,63	521,537,2,47
Dataset3	43863at204455	320,10,13,0	320,10,13,0	320,3,20,0	287,19,4,33	293,3,20,27	320,12,11,0
Dataset3	44785at204455	192,42,7,0	184,46,3,8	192,23,26,0	98,48,1,94	183,16,33,9	138,48,1,54
Dataset3	52677at204455	120,25,6,0	118,26,5,2	120,5,26,0	87,31,0,33	116,1,30,4	114,30,1,6
Dataset3	6058at204455	444,20,6,0	444,22,4,0	444,7,19,0	431,25,1,13	381,5,21,63	444,26,0,0
Dataset3	61883at204455	68,0,1,0	68,0,1,0	68,0,1,0	68,0,1,0	63,0,1,5	68,1,0,0
Dataset8	Alphaproteobacteria_ssu_2000	1302,5972,125,0	579,6052,45,723	1302,3319,2778,0	97,6083,14,1205	1169,4517,1580,133	1302,0,6097,0
Dataset8	Chytridiomycota_ssu_200	1733,801,12,10	1674,805,8,69	1743,569,244,0	1488,811,2,255	1142,716,97,601	1743,0,813,0
Dataset8	Embryophyta_lsu_200	3210,7390,104,0	3135,7418,76,75	3210,4381,3113,0	2592,7450,44,618	3169,5768,1726,41	3210,0,7494,0
Dataset8	Euryarchaeota_lsu_126	2900,336,85,3	2877,349,72,26	2903,88,333,0	2686,412,9,217	2239,79,342,664	2903,0,421,0
Dataset8	Fusobacteriia_lsu_93	2881,82,29,0	2877,86,25,4	2881,68,43,0	2859,89,22,22	1943,26,85,938	2881,0,111,0
Dataset8	Gemmatales_ssu_500	1352,522,99,1	1294,533,88,59	1353,211,410,0	1043,591,30,310	832,384,237,521	1353,0,621,0
Dataset8	Gemmatimonadota_ssu_200	1458,429,46,2	1410,449,26,50	1460,227,248,0	1152,475,0,308	842,341,134,618	1460,0,475,0
Dataset8	Halobacteria_lsu_180	2877,2414,31,0	2866,2414,31,11	2877,2223,222,0	2772,2428,17,105	1876,2321,124,1001	2877,0,2445,0
Dataset8	Halobacterota_lsu_296	2829,2688,80,0	2781,2702,66,48	2829,2373,395,0	2586,2747,21,243	2322,2469,299,507	2829,0,2768,0
Dataset8	Kinetoplastea_ssu_500	1813,1917,308,0	1688,2039,186,125	1813,525,1700,0	1393,2166,59,420	1636,696,1529,177	1813,0,2225,0
Dataset8	Methanosarcinia_lsu_61	2862,160,40,2	2860,161,39,4	2864,97,103,0	2818,178,22,46	2029,111,89,835	2864,0,200,0
Dataset8	Platyhelminthes_ssu_1993	1574,7860,188,0	732,7952,96,842	1574,4827,3221,0	64,8048,0,1510	1547,4283,3765,27	1574,0,8048,0
Dataset8	Protalveolata_ssu_2000	1599,1632,188,0	1000,1716,104,599	1599,687,1133,0	503,1773,47,1096	1353,1268,552,246	1599,0,1820,0
Dataset8	Spirochaetota_lsu_200	2845,1659,128,1	2826,1668,119,20	2846,1159,628,0	2528,1757,30,318	2127,846,941,719	2846,0,1787,0
