0	0.9556	0.9781	0.9373
0.05	0.9456	0.9730	0.7535
0.05	0.9456	0.9730	0.7539
0.05	0.9512	0.9758	0.7538
0.05	0.9501	0.9753	0.7531
0.05	0.9456	0.9730	0.7528
0.1	0.9453	0.9729	0.5960
0.1	0.9490	0.9748	0.5950
0.1	0.9554	0.9780	0.5956
0.1	0.9453	0.9729	0.5952
0.1	0.9453	0.9729	0.5950
0.15	0.9452	0.9728	0.4558
0.15	0.9454	0.9729	0.4568
0.15	0.9454	0.9729	0.4560
0.15	0.9453	0.9729	0.4560
0.15	0.9495	0.9750	0.4550
0.2	0.9487	0.9746	0.3355
0.2	0.9553	0.9779	0.3361
0.2	0.9453	0.9728	0.3356
0.2	0.9453	0.9729	0.3356
0.2	0.9554	0.9780	0.3365
0.25	0.9553	0.9779	0.2328
0.25	0.9453	0.9729	0.2332
0.25	0.9491	0.9748	0.2338
0.25	0.9485	0.9745	0.2332
0.25	0.9554	0.9780	0.2329
0.3	0.9556	0.9780	0.1492
0.3	0.9452	0.9728	0.1493
0.3	0.9464	0.9735	0.1487
0.3	0.9452	0.9728	0.1494
0.3	0.9555	0.9780	0.1495
0.35	0.9549	0.9777	0.0841
0.35	0.9553	0.9779	0.0841
0.35	0.9553	0.9779	0.0840
0.35	0.9461	0.9733	0.0835
0.35	0.9553	0.9779	0.0832
0.4	0.9454	0.9729	0.0375
0.4	0.9549	0.9777	0.0374
0.4	0.9554	0.9779	0.0375
0.4	0.9452	0.9728	0.0372
0.4	0.9453	0.9728	0.0373
0.45	0.9555	0.9780	0.0094
0.45	0.9552	0.9779	0.0093
0.45	0.9553	0.9779	0.0095
0.45	0.9503	0.9754	0.0093
0.45	0.9457	0.9731	0.0092
0.5	-0.2713	0.3899	0.0000
0.5	0.0593	0.4804	0.0000
0.5	-0.2964	0.3714	0.0000
0.5	0.0120	0.4474	0.0000
0.5	0.2277	0.5193	0.0000
