Overall	0.9714	0.9300	0.8425	0.9966
COG0008	0.9659	0.9172	0.8338	0.9968
COG0052	0.9931	0.9801	0.8700	0.9996
COG0087	0.9632	0.9182	0.8079	0.9944
COG0094	0.9958	0.9914	0.8666	1.0000
COG0099	0.9885	0.9746	0.8605	0.9998
COG0186	0.9819	0.9237	0.9345	0.9997
COG0197	0.9780	0.9515	0.8553	0.9988
COG0258	0.9575	0.9031	0.7265	0.9944
COG0409	0.9770	0.9546	0.9076	0.9986
COG0452	0.9852	0.9638	0.9121	0.9993
COG0522	0.9271	0.3623	0.5911	0.9027
COG0532	0.9608	0.8827	0.8407	0.9967
COG5257	0.9871	0.9637	0.9340	0.9994
