Overall	0.9806	0.9306	0.8728	0.9958
VOG00795	0.9857	0.9718	0.8194	0.9987
VOG01373	0.9933	0.9842	0.9082	0.9999
VOG01382	0.9934	0.8128	0.9173	0.9984
VOG02459	0.9838	0.8907	0.8866	0.9981
VOG02956	0.9932	0.9682	0.8657	0.9994
VOG02998	0.8803	0.6946	0.8787	0.9833
VOG05749	0.9904	0.9226	0.8974	0.9984
VOG07098	0.9917	0.9828	0.8412	0.9991
VOG08581	0.9427	0.8138	0.8077	0.9961
VOG10377	0.9880	0.9666	0.9021	0.9996
VOG10810	0.9877	0.9553	0.9029	0.9994
VOG11941	0.9864	0.9561	0.8676	0.9988
VOG11960	0.9829	0.9663	0.8382	0.9995
VOG12955	0.9939	0.9480	0.9103	0.9994
VOG15345	0.9627	0.7948	0.8833	0.9866
VOG15987	0.9926	0.9805	0.8429	0.9994
VOG16937	0.9699	0.9087	0.8838	0.9929
VOG17147	0.9937	0.9620	0.8711	0.9991
VOG17997	0.9380	0.7411	0.8641	0.9708
VOG18467	0.9979	0.9860	0.8988	0.9999
VOG18621	0.9765	0.8343	0.8345	0.9962
VOG19065	0.9881	0.9585	0.8674	0.9986
VOG19234	0.9795	0.9594	0.8381	0.9992
VOG19768	0.9953	0.9897	0.8982	0.9998
VOG21041	0.9988	0.9974	0.8305	1.0000
VOG22172	0.9629	0.9183	0.8723	0.9934
VOG23008	0.9889	0.9654	0.8613	0.9965
VOG23436	0.9936	0.9864	0.8548	0.9997
VOG24511	0.9937	0.9788	0.8999	0.9996
VOG25869	0.9931	0.9745	0.8564	0.9996
VOG26696	0.9891	0.9659	0.8659	0.9984
VOG26938	0.9955	0.9829	0.9080	0.9999
VOG27433	0.9839	0.9566	0.8029	0.9976
VOG28270	0.9905	0.9774	0.8617	0.9996
VOG28388	0.9954	0.9738	0.9032	0.9996
VOG28996	0.9717	0.8441	0.8699	0.9939
VOG29482	0.8973	0.8113	0.8396	0.9922
VOG29984	0.9763	0.9141	0.8232	0.9944
VOG30725	0.9724	0.8934	0.8775	0.9970
VOG31455	0.9905	0.9696	0.8264	0.9994
VOG32512	0.9227	0.8415	0.8458	0.9909
VOG32653	0.9827	0.9569	0.8319	0.9983
VOG33815	0.9910	0.9661	0.8827	0.9991
VOG33923	0.9934	0.9757	0.9132	0.9998
VOG34364	0.9717	0.9368	0.7997	0.9956
VOG36465	0.6967	0.5183	0.8322	0.9496
VOG36620	0.9948	0.9779	0.9132	0.9998
VOG36878	0.9993	0.9962	0.9172	1.0000
VOG37516	0.9918	0.9786	0.8491	0.9996
VOG38621	0.9908	0.9701	0.8715	0.9989
VOG39691	0.9634	0.9276	0.7997	0.9933
VOG42326	0.9754	0.9182	0.8210	0.9950
VOG42434	0.9624	0.8496	0.8994	0.9874
VOG43231	0.9627	0.9035	0.8156	0.9934
VOG43554	0.9910	0.9705	0.8733	0.9991
VOG43863	0.9908	0.9543	0.8915	0.9987
VOG43917	0.9397	0.8050	0.7828	0.9840
VOG44529	0.9949	0.9426	0.9024	0.9992
VOG44792	0.9852	0.9692	0.8037	0.9988
VOG45196	0.9276	0.8044	0.8033	0.9912
VOG46089	0.9810	0.9621	0.8963	0.9975
VOG46491	0.9239	0.8202	0.8442	0.9960
VOG46791	0.9916	0.9567	0.8955	0.9973
VOG47637	0.9691	0.9013	0.8595	0.9943
VOG49156	0.9955	0.9401	0.8966	0.9992
VOG52456	0.9880	0.9610	0.8663	0.9992
VOG55002	0.9932	0.9829	0.8790	0.9994
VOG57010	0.9913	0.9813	0.8648	1.0000
VOG57557	0.9801	0.9483	0.8410	0.9986
VOG58103	0.9857	0.9613	0.8197	0.9985
VOG58291	0.9975	0.9837	0.8639	0.9993
VOG58678	0.9392	0.8548	0.8394	0.9846
VOG58702	0.9788	0.9449	0.8919	0.9987
