Overall	0.9837	0.9646	0.8963	0.9989
ATP6	0.9865	0.9730	0.9143	0.9994
ATP8	0.9885	0.9654	0.9029	0.9995
COX1	0.9915	0.9789	0.9529	1.0000
COX2	0.9983	0.9964	0.9506	1.0000
COX3	0.9966	0.9932	0.9608	1.0000
CYTB	0.9898	0.9714	0.9410	1.0000
ND1	0.9573	0.8844	0.9079	0.9998
ND2	0.9939	0.9876	0.8791	0.9997
ND3	0.9903	0.9805	0.9274	1.0000
ND4L	0.9545	0.9079	0.8898	0.9989
ND4	0.9955	0.9895	0.8807	0.9998
ND5	0.9717	0.9425	0.8683	0.9989
ND6	0.9764	0.9495	0.8605	0.9980
rRNA-12S	0.9817	0.9465	0.8839	0.9981
rRNA-16S	0.9844	0.9459	0.9009	0.9981
tRNA-Ala	0.9712	0.9411	0.8720	1.0000
tRNA-Arg	0.9606	0.9242	0.8299	1.0000
tRNA-Asn	0.9928	0.9857	0.8835	1.0000
tRNA-Asp	0.9919	0.9839	0.8803	1.0000
tRNA-Cys	0.9758	0.9433	0.9145	0.9991
tRNA-Gln	0.9912	0.9815	0.8751	1.0000
tRNA-Glu	0.9917	0.9834	0.8590	1.0000
tRNA-Gly	1.0000	1.0000	0.8657	1.0000
tRNA-His	0.9835	0.9674	0.8675	1.0000
tRNA-Ile	0.9636	0.9270	0.8422	0.9993
tRNA-Leu	1.0000	1.0000	0.8591	1.0000
tRNA-Lys	0.9940	0.9875	0.8841	0.9995
tRNA-Met	0.9640	0.9289	0.8901	0.9988
tRNA-Phe	0.9787	0.9513	0.8271	0.9995
tRNA-Pro	0.9919	0.9839	0.8803	0.9997
tRNA-Ser	0.9775	0.9529	0.8247	0.9983
tRNA-Thr	0.9817	0.9629	0.8587	0.9993
tRNA-Trp	0.9615	0.9226	0.8714	0.9992
tRNA-Tyr	0.9528	0.9073	0.8796	0.9973
tRNA-Val	0.9565	0.9155	0.8670	0.9942
